feature_name,data_type,n_unique_values,is_primary_key,pct_logical_null,pct_char_null_na,pct_empty_string,top_n_categories,top_n_pct_value,top_n_pct
category_high_card,character,1500,TRUE,0,0,0,"ID_1, ID_2, ID_3, ID_4, ID_5, ID_6, ID_7, ID_8, ID_9, ID_10, ID_11, ID_12, ID_13, ID_14, ID_15",0.07,"0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
category_moderate,character,10,FALSE,0,0,0,"A, G, H, B, E, I, C, J, D, F",11.47,"11.47, 10.87, 10.73, 10.6, 10, 9.6, 9.53, 9.4, 9.2, 8.6"
category_skewed,character,3,FALSE,0,1.33,0,"Dominant_Value, Rare_2, Rare_1, NULL",89.4,"89.4, 5, 4.27, 1.33"
character_comments,character,3,FALSE,18.73,0,19.93,"NULL, Good, Bad, Okay",38.67,"38.67, 21.8, 19.93, 19.6"
date_col,date,1500,TRUE,0,0,0,"2023-01-01, 2023-01-02, 2023-01-03, 2023-01-04, 2023-01-05, 2023-01-06, 2023-01-07, 2023-01-08, 2023-01-09, 2023-01-10, 2023-01-11, 2023-01-12, 2023-01-13, 2023-01-14, 2023-01-15",0.07,"0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
datetime_col,POSIXct,1500,TRUE,0,0,0,"2023-01-01 10:00:00, 2023-01-01 10:10:00, 2023-01-01 10:20:00, 2023-01-01 10:30:00, 2023-01-01 10:40:00, 2023-01-01 10:50:00, 2023-01-01 11:00:00, 2023-01-01 11:10:00, 2023-01-01 11:20:00, 2023-01-01 11:30:00, 2023-01-01 11:40:00, 2023-01-01 11:50:00, 2023-01-01 12:00:00, 2023-01-01 12:10:00, 2023-01-01 12:20:00",0.07,"0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
days_since_datetime_col,integer,11,FALSE,0,0,0,"1498, 1497, 1496, 1495, 1494, 1493, 1492, 1491, 1490, 1489, 1499",9.6,"9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 8, 5.6"
integer_rating,integer,5,FALSE,1.33,0,0,"3, 4, 5, 2, 1, NULL",20.8,"20.8, 19.87, 19.67, 19.4, 18.93, 1.33"
logical_flag,logical,2,FALSE,0,0,0,"TRUE, FALSE",70.93,"70.93, 29.07"
mixed_nulls_text,character-logical,2,FALSE,13,37.67,24.33,"NULL, Valid, Value",75,"75, 12.73, 12.27"
numeric_target,numeric,1500,TRUE,0,0,0,"358.819768112153, 809.474621899426, 468.07922963053, 894.715663604438, 946.420555864461, 141.000849450938, 575.294939242303, 903.177139954641, 596.291513019241, 510.953261773102, 961.15001081489, 508.000740571879, 709.81357190758, 615.370061760768, 192.632214399055",0.07,"0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
numeric_with_na,numeric,1450,FALSE,3.33,0,0,"NULL, 11.2256003776565, 91.7815666180104, 87.1537754312158, 64.1269314335659, 67.2126817749813, 83.7917572120205, 24.7047446900979, 97.752767498605, 87.9221294308081, 38.6420763097703, 33.675015042536, 51.256316783838, 54.5025422703475, 93.4922681190073",3.33,"3.33, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
primary_key,integer,1500,TRUE,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",0.07,"0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07"
